Species,Weight,Length1,Length2,Length3,Height,Width,AvgLength,PctHeightToWeight
Bream,850.0,32.8,36.0,41.6,16.8896,6.1984,36.800000000000004,1.9870117647058827
Bream,1000.0,33.5,37.0,42.6,18.957,6.603,37.699999999999996,1.8957000000000002
Bream,920.0,35.0,38.5,44.1,18.0369,6.3063,39.199999999999996,1.960532608695652
Bream,955.0,35.0,38.5,44.0,18.084,6.292,39.166666666666664,1.8936125654450262
Bream,925.0,36.2,39.5,45.3,18.7542,6.7497,40.333333333333336,2.0274810810810813
Bream,975.0,37.4,41.0,45.9,18.6354,6.7473,41.43333333333334,1.9113230769230771
Bream,950.0,38.0,41.0,46.5,17.6235,6.3705,41.833333333333336,1.8551052631578948
Roach,40.0,12.9,14.1,16.2,4.1472,2.268,14.4,10.367999999999999
Roach,69.0,16.5,18.2,20.3,5.2983,2.8217,18.333333333333332,7.6786956521739125
Roach,78.0,17.5,18.8,21.2,5.5756,2.9044,19.166666666666668,7.148205128205127
Roach,87.0,18.2,19.8,22.2,5.6166,3.1746,20.066666666666666,6.4558620689655175
Roach,120.0,18.6,20.0,22.2,6.216,3.5742,20.266666666666666,5.18
Roach,0.0,19.0,20.5,22.8,6.4752,3.3516,20.766666666666666,inf
Roach,110.0,19.1,20.8,23.1,6.1677,3.3957,21.000000000000004,5.607
Roach,120.0,19.4,21.0,23.7,6.1146,3.2943,21.366666666666664,5.0955
Roach,150.0,20.4,22.0,24.7,5.8045,3.7544,22.366666666666664,3.8696666666666664
Roach,145.0,20.5,22.0,24.3,6.6339,3.5478,22.266666666666666,4.575103448275862
Roach,160.0,20.5,22.5,25.3,7.0334,3.8203,22.766666666666666,4.395875
Roach,140.0,21.0,22.5,25.0,6.55,3.325,22.833333333333332,4.678571428571429
Roach,160.0,21.1,22.5,25.0,6.4,3.8,22.866666666666664,4.0
Roach,169.0,22.0,24.0,27.2,7.5344,3.8352,24.400000000000002,4.458224852071005
Roach,161.0,22.0,23.4,26.7,6.9153,3.6312,24.03333333333333,4.295217391304348
Roach,200.0,22.1,23.5,26.8,7.3968,4.1272,24.133333333333336,3.6983999999999995
Roach,180.0,23.6,25.2,27.9,7.0866,3.906,25.566666666666663,3.9370000000000003
Roach,290.0,24.0,26.0,29.2,8.8768,4.4968,26.400000000000002,3.060965517241379
Roach,272.0,25.0,27.0,30.6,8.568,4.7736,27.53333333333333,3.15
Roach,390.0,29.5,31.7,35.0,9.485,5.355,32.06666666666667,2.432051282051282
Whitefish,270.0,23.6,26.0,28.7,8.3804,4.2476,26.099999999999998,3.103851851851852
Whitefish,270.0,24.1,26.5,29.3,8.1454,4.2485,26.633333333333336,3.016814814814815
Whitefish,306.0,25.6,28.0,30.8,8.778,4.6816,28.133333333333336,2.868627450980392
Whitefish,540.0,28.5,31.0,34.0,10.744,6.562,31.166666666666668,1.9896296296296296
Whitefish,800.0,33.7,36.4,39.6,11.7612,6.5736,36.56666666666666,1.47015
Whitefish,1000.0,37.3,40.0,43.5,12.354,6.525,40.266666666666666,1.2353999999999998
Parkki,55.0,13.5,14.7,16.5,6.8475,2.3265,14.9,12.45
Parkki,60.0,14.3,15.5,17.4,6.5772,2.3142,15.733333333333334,10.962000000000002
Parkki,90.0,16.3,17.7,19.8,7.4052,2.673,17.933333333333334,8.228
Parkki,120.0,17.5,19.0,21.3,8.3922,2.9181,19.266666666666666,6.993500000000001
Parkki,150.0,18.4,20.0,22.4,8.8928,3.2928,20.266666666666666,5.928533333333333
Parkki,140.0,19.0,20.7,23.2,8.5376,3.2944,20.96666666666667,6.098285714285714
Parkki,170.0,19.0,20.7,23.2,9.396,3.4104,20.96666666666667,5.527058823529412
Parkki,145.0,19.8,21.5,24.1,9.7364,3.1571,21.8,6.714758620689655
Parkki,200.0,21.2,23.0,25.8,10.3458,3.6636,23.333333333333332,5.1729
Parkki,273.0,23.0,25.0,28.0,11.088,4.144,25.333333333333332,4.061538461538461
Parkki,300.0,24.0,26.0,29.0,11.368,4.234,26.333333333333332,3.7893333333333334
Perch,5.9,7.5,8.4,8.8,2.112,1.408,8.233333333333334,35.79661016949153
Perch,32.0,12.5,13.7,14.7,3.528,1.9992,13.633333333333333,11.025
Perch,40.0,13.8,15.0,16.0,3.824,2.432,14.933333333333332,9.559999999999999
Perch,51.5,15.0,16.2,17.2,4.5924,2.6316,16.133333333333333,8.917281553398057
Perch,70.0,15.7,17.4,18.5,4.588,2.9415,17.2,6.554285714285714
Perch,100.0,16.2,18.0,19.2,5.2224,3.3216,17.8,5.2224
Perch,78.0,16.8,18.7,19.4,5.1992,3.1234,18.3,6.665641025641025
Perch,80.0,17.2,19.0,20.2,5.6358,3.0502,18.8,7.04475
Perch,85.0,17.8,19.6,20.8,5.1376,3.0368,19.400000000000002,6.044235294117647
Perch,85.0,18.2,20.0,21.0,5.082,2.772,19.733333333333334,5.978823529411764
Perch,110.0,19.0,21.0,22.5,5.6925,3.555,20.833333333333332,5.175
Perch,115.0,19.0,21.0,22.5,5.9175,3.3075,20.833333333333332,5.145652173913043
Perch,125.0,19.0,21.0,22.5,5.6925,3.6675,20.833333333333332,4.553999999999999
Perch,130.0,19.3,21.3,22.8,6.384,3.534,21.133333333333336,4.910769230769231
Perch,120.0,20.0,22.0,23.5,6.11,3.4075,21.833333333333332,5.091666666666668
Perch,120.0,20.0,22.0,23.5,5.64,3.525,21.833333333333332,4.7
Perch,130.0,20.0,22.0,23.5,6.11,3.525,21.833333333333332,4.7
Perch,135.0,20.0,22.0,23.5,5.875,3.525,21.833333333333332,4.351851851851852
Perch,110.0,20.0,22.0,23.5,5.5225,3.995,21.833333333333332,5.0204545454545455
Perch,130.0,20.5,22.5,24.0,5.856,3.624,22.333333333333332,4.504615384615384
Perch,150.0,20.5,22.5,24.0,6.792,3.624,22.333333333333332,4.5280000000000005
Perch,145.0,20.7,22.7,24.2,5.9532,3.63,22.53333333333333,4.105655172413793
Perch,150.0,21.0,23.0,24.5,5.2185,3.626,22.833333333333332,3.4789999999999996
Perch,170.0,21.5,23.5,25.0,6.275,3.725,23.333333333333332,3.691176470588235
Perch,225.0,22.0,24.0,25.5,7.293,3.723,23.833333333333332,3.2413333333333334
Perch,145.0,22.0,24.0,25.5,6.375,3.825,23.833333333333332,4.396551724137931
Perch,188.0,22.6,24.6,26.2,6.7334,4.1658,24.46666666666667,3.581595744680851
Perch,180.0,23.0,25.0,26.5,6.4395,3.6835,24.833333333333332,3.5775
Perch,197.0,23.5,25.6,27.0,6.561,4.239,25.366666666666664,3.3304568527918783
Perch,218.0,25.0,26.5,28.0,7.168,4.144,26.5,3.288073394495413
Perch,300.0,25.2,27.3,28.7,8.323,5.1373,27.066666666666666,2.7743333333333333
Perch,260.0,25.4,27.5,28.9,7.1672,4.335,27.266666666666666,2.756615384615385
Perch,265.0,25.4,27.5,28.9,7.0516,4.335,27.266666666666666,2.6609811320754715
Perch,250.0,25.4,27.5,28.9,7.2828,4.5662,27.266666666666666,2.91312
Perch,250.0,25.9,28.0,29.4,7.8204,4.2042,27.766666666666666,3.12816
Perch,300.0,26.9,28.7,30.1,7.5852,4.6354,28.566666666666663,2.5284
Perch,320.0,27.8,30.0,31.6,7.6156,4.7716,29.8,2.379875
Perch,514.0,30.5,32.8,34.0,10.03,6.018,32.43333333333333,1.95136186770428
Perch,556.0,32.0,34.5,36.5,10.2565,6.3875,34.333333333333336,1.8446942446043169
Perch,840.0,32.5,35.0,37.3,11.4884,7.7957,34.93333333333333,1.3676666666666666
Perch,685.0,34.0,36.5,39.0,10.881,6.864,36.5,1.5884671532846715
Perch,700.0,34.0,36.0,38.3,10.6091,6.7408,36.1,1.5155857142857143
Perch,700.0,34.5,37.0,39.4,10.835,6.2646,36.96666666666667,1.547857142857143
Perch,690.0,34.6,37.0,39.3,10.5717,6.3666,36.96666666666666,1.5321304347826086
Perch,900.0,36.5,39.0,41.4,11.1366,7.4934,38.96666666666667,1.2374
Perch,650.0,36.5,39.0,41.4,11.1366,6.003,38.96666666666667,1.713323076923077
Perch,820.0,36.6,39.0,41.3,12.4313,7.3514,38.96666666666666,1.5160121951219514
Perch,850.0,36.9,40.0,42.3,11.9286,7.1064,39.733333333333334,1.4033647058823528
Perch,900.0,37.0,40.0,42.5,11.73,7.225,39.833333333333336,1.3033333333333335
Perch,1015.0,37.0,40.0,42.4,12.3808,7.4624,39.800000000000004,1.2197832512315272
Perch,820.0,37.1,40.0,42.5,11.135,6.63,39.86666666666667,1.3579268292682927
Perch,1100.0,39.0,42.0,44.6,12.8002,6.8684,41.86666666666667,1.1636545454545455
Perch,1000.0,39.8,43.0,45.2,11.9328,7.2772,42.666666666666664,1.1932800000000001
Perch,1100.0,40.1,43.0,45.5,12.5125,7.4165,42.86666666666667,1.1375
Perch,1000.0,40.2,43.5,46.0,12.604,8.142,43.23333333333333,1.2604
Perch,1000.0,41.1,44.0,46.6,12.4888,7.5958,43.9,1.24888
Pike,200.0,30.0,32.3,34.8,5.568,3.3756,32.36666666666667,2.784
Pike,300.0,31.7,34.0,37.8,5.7078,4.158,34.5,1.9025999999999998
Pike,300.0,32.7,35.0,38.8,5.9364,4.3844,35.5,1.9788000000000001
Pike,300.0,34.8,37.3,39.8,6.2884,4.0198,37.3,2.0961333333333334
Pike,430.0,35.5,38.0,40.5,7.29,4.5765,38.0,1.6953488372093022
Pike,345.0,36.0,38.5,41.0,6.396,3.977,38.5,1.853913043478261
Pike,456.0,40.0,42.5,45.5,7.28,4.3225,42.666666666666664,1.5964912280701755
Pike,510.0,40.0,42.5,45.5,6.825,4.459,42.666666666666664,1.338235294117647
Pike,540.0,40.1,43.0,45.8,7.786,5.1296,42.96666666666666,1.4418518518518517
Pike,500.0,42.0,45.0,48.0,6.96,4.896,45.0,1.392
Pike,567.0,43.2,46.0,48.7,7.792,4.87,45.96666666666667,1.3742504409171077
Pike,770.0,44.8,48.0,51.2,7.68,5.376,48.0,0.9974025974025974
Pike,950.0,48.3,51.7,55.1,8.9262,6.1712,51.699999999999996,0.9396
Pike,1250.0,52.0,56.0,59.7,10.6863,6.9849,55.9,0.8549039999999999
Pike,1600.0,56.0,60.0,64.0,9.6,6.144,60.0,0.6
Pike,1550.0,56.0,60.0,64.0,9.6,6.144,60.0,0.6193548387096774
Pike,1650.0,59.0,63.4,68.0,10.812,7.48,63.46666666666667,0.6552727272727272
Smelt,6.7,9.3,9.8,10.8,1.7388,1.0476,9.966666666666667,25.952238805970147
Smelt,7.5,10.0,10.5,11.6,1.972,1.16,10.700000000000001,26.293333333333337
Smelt,7.0,10.1,10.6,11.6,1.7284,1.1484,10.766666666666666,24.69142857142857
Smelt,9.7,10.4,11.0,12.0,2.196,1.38,11.133333333333333,22.63917525773196
Smelt,9.8,10.7,11.2,12.4,2.0832,1.2772,11.433333333333332,21.257142857142856
Smelt,8.7,10.8,11.3,12.6,1.9782,1.2852,11.566666666666668,22.737931034482763
Smelt,10.0,11.3,11.8,13.1,2.2139,1.2838,12.066666666666668,22.139000000000003
Smelt,9.9,11.3,11.8,13.1,2.2139,1.1659,12.066666666666668,22.362626262626264
Smelt,9.8,11.4,12.0,13.2,2.2044,1.1484,12.199999999999998,22.493877551020407
Smelt,12.2,11.5,12.2,13.4,2.0904,1.3936,12.366666666666667,17.134426229508197
Smelt,13.4,11.7,12.4,13.5,2.43,1.269,12.533333333333333,18.134328358208958
Smelt,12.2,12.1,13.0,13.8,2.277,1.2558,12.966666666666669,18.66393442622951
Smelt,19.7,13.2,14.3,15.2,2.8728,2.0672,14.233333333333334,14.582741116751269
Smelt,19.9,13.8,15.0,16.2,2.9322,1.8792,15.0,14.734673366834173
